2023-04-29 12:01:26,599 p=6164 u=ubuntu n=ansible | fatal: [db01]: FAILED! => {"changed": false, "msg": "The destination directory (/etc) is not writable by the current user. Error was: [Errno 13] Permission denied: b'/etc/.ansible_tmpil729ma8hosts'"}
2023-04-29 12:01:26,601 p=6164 u=ubuntu n=ansible | PLAY RECAP *********************************************************************
2023-04-29 12:01:26,602 p=6164 u=ubuntu n=ansible | app01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:01:26,602 p=6164 u=ubuntu n=ansible | cntl                       : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:01:26,602 p=6164 u=ubuntu n=ansible | db01                       : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:01:26,602 p=6164 u=ubuntu n=ansible | mc01                       : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:01:26,602 p=6164 u=ubuntu n=ansible | rmq01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:01:26,603 p=6164 u=ubuntu n=ansible | web01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 12:08:28,746 p=6480 u=ubuntu n=ansible | PLAY [Set host to ip mapping in /etc/hosts file of all instances in the stack] ***
2023-04-29 12:08:28,756 p=6480 u=ubuntu n=ansible | TASK [Gathering Facts] *********************************************************
2023-04-29 12:08:30,617 p=6480 u=ubuntu n=ansible | ok: [web01]
2023-04-29 12:08:30,648 p=6480 u=ubuntu n=ansible | ok: [app01]
2023-04-29 12:08:30,664 p=6480 u=ubuntu n=ansible | ok: [rmq01]
2023-04-29 12:08:30,671 p=6480 u=ubuntu n=ansible | ok: [mc01]
2023-04-29 12:08:30,699 p=6480 u=ubuntu n=ansible | ok: [cntl]
2023-04-29 12:08:32,075 p=6480 u=ubuntu n=ansible | ok: [db01]
2023-04-29 12:08:32,089 p=6480 u=ubuntu n=ansible | TASK [Import VPC setup variable] ***********************************************
2023-04-29 12:08:32,136 p=6480 u=ubuntu n=ansible | ok: [cntl]
2023-04-29 12:08:32,154 p=6480 u=ubuntu n=ansible | ok: [web01]
2023-04-29 12:08:32,177 p=6480 u=ubuntu n=ansible | ok: [app01]
2023-04-29 12:08:32,197 p=6480 u=ubuntu n=ansible | ok: [rmq01]
2023-04-29 12:08:32,198 p=6480 u=ubuntu n=ansible | ok: [mc01]
2023-04-29 12:08:32,206 p=6480 u=ubuntu n=ansible | ok: [db01]
2023-04-29 12:08:32,214 p=6480 u=ubuntu n=ansible | TASK [Update hosts file for all the hosts] *************************************
2023-04-29 12:08:33,104 p=6480 u=ubuntu n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: PermissionError: [Errno 13] Permission denied: b'/home/ubuntu/.ansible/tmp/ansible-tmp-1682770112.3859158-6643-270793646161935/tmp3zzdfjq3' -> b'/etc/hosts'
